Post ID,Media Type,Taken At,Caption,Likes,Comments,Thumbnail,Reach,Impressions,Saves,Shares,Engagement,Engagement Rate (%),Profile Views,Exits,Taps Forward,Taps Back,Replies,Follows,Thumbnail Local Path
3607039673818541949_1302815857,Reel,2025-04-09,We can’t wait to watch ArrDee perform live at this year’s Su...,281,0,,5435,7263,0,3,284,5.23,103,0,0,0,0,0,
3606224125715232165_1302815857,Post,2025-04-08,🎤 ArrDee is this years Headliner at Summer Ball 2025! 🎶 Plat...,341,8,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/489565570_18498315463031858_1609372522674263109_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEzNTB4MTY4Ny5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=l2QjttIn584Q7kNvwF56uLG&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzYwNjIyNDEyNTcxNTIzMjE2NQ%3D%3D.3-ccb7-5&oh=00_AfEtkd8vhrOAzJy4F3Vu9znFqUBCgqPmoP3Ofh-oig2Eaw&oe=67FEE504&_nc_sid=b41fef,6824,11264,0,23,372,5.45,173,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/489565570_18498315463031858_1609372522674263109_n.jpg
3602766494413508860_8389046195,Carousel,2025-04-03,"🥚THE LAST VENSDAY OF TERM HIGHLIGHTS 🐰

What a way to end Te...",181,1,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/488019256_18265235773278196_7651645852336981599_n.jpg?stp=dst-jpg_e15_p360x360_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjc1NzYxLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=JJubpoqjQIYQ7kNvwGVW5PA&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzYwMjc2NjQ5NDQxMzUwODg2MA%3D%3D.3-ccb7-5&oh=00_AfEQrOoPyAlfd-irpy5KFoTeu23-wjABn_Gi1Otv7iKSPw&oe=67FEC002&_nc_sid=b41fef,3264,4413,0,2,184,5.64,50,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/488019256_18265235773278196_7651645852336981599_n.jpg
3602615054797841240_8389046195,Post,2025-04-03,THIS SATURDAY!!! 🤩 The ultimate EMO TRIBUTE NIGHT is coming ...,15,2,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/488007977_18265255000278196_7355517797460044709_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwMjR4MTAyNC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=khaWfu81gmQQ7kNvwGO7NJ-&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzYwMjYxNTA1NDc5Nzg0MTI0MA%3D%3D.3-ccb7-5&oh=00_AfE40_55qqhQv-AnAm4sK1YUd_sBUBEII8gQiVXiWDkYqA&oe=67FEC638&_nc_sid=b41fef,1597,2136,0,1,18,1.13,4,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/488007977_18265255000278196_7355517797460044709_n.jpg
3601830261587890395_1302815857,Carousel,2025-04-02,🎉🎡 SUMMER BALL ANNOUNCEMENT! 🎡🎉 GET YOUR TICKETS NOW! Link i...,262,13,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/488035255_18497043127031858_6780582591888409450_n.jpg?stp=dst-jpg_e15_p360x360_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi4xMTc4eDIwOTYuc2RyLmY3NTc2MS5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=koIl7Z2zWaEQ7kNvwGRFu4o&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzYwMTgzMDI2MTU4Nzg5MDM5NQ%3D%3D.3-ccb7-5&oh=00_AfHlrmH-gN9oC-RMlZR-nqfycjxgvgQu7ZiQ1NzCNKIKtQ&oe=67FEE3C6&_nc_sid=b41fef,4869,6050,0,0,275,5.65,71,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/488035255_18497043127031858_6780582591888409450_n.jpg
3601140797551022991_8389046195,Reel,2025-04-01,THIS SATURDAY 🖤 The ultimate EMO TRIBUTE NIGHT is coming to ...,94,1,,1632,2401,0,0,95,5.82,21,0,0,0,0,0,
3599867011962781785_8389046195,Reel,2025-03-30,"VARSITY VENSDAY Highlights🏆

WE ARE THE CHAMPIONS ONCE AGAIN...",377,0,,4112,5054,0,2,379,9.22,110,0,0,0,0,0,
3599716266009631692_8389046195,Post,2025-03-30,"🐰 NEXT WEDNESDAY EASTER SEND OFF 🐰 LAST VENSDAY OF TERM

🐰 E...",46,0,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/487430943_18264621991278196_2055029470917860633_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwMjR4MTAyNC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=S1Su0JB9RvEQ7kNvwG3kTMh&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5OTcxNjI2NjAwOTYzMTY5Mg%3D%3D.3-ccb7-5&oh=00_AfF0FzMQ27FkkwhrKBcqr7Rn4mNuTyyTesAqsd-InZ8ohA&oe=67FED6F9&_nc_sid=b41fef,2071,4045,0,0,46,2.22,15,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/487430943_18264621991278196_2055029470917860633_n.jpg
3598311761279918898_8389046195,Carousel,2025-03-28,Varsity win secured 🏆 The energy was insane this week‼️Hear ...,138,3,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/486673059_18264508183278196_5447785519790458939_n.jpg?stp=dst-jpg_e15_p360x360_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjc1NzYxLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=I43yNM6iZTQQ7kNvwHhhSRa&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5ODMxMTc2MTI3OTkxODg5OA%3D%3D.3-ccb7-5&oh=00_AfEtTc-oNbEVpPdozxp9X0po6ndzX_0kC_2_GpHBdC1WwQ&oe=67FEC353&_nc_sid=b41fef,2971,4115,0,3,144,4.85,61,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/486673059_18264508183278196_5447785519790458939_n.jpg
3597617436078246649_8389046195,Carousel,2025-03-27,"🏆 WE’RE CHAMPIONS AGAIN 🏆

What a way to celebrate our wins ...",226,0,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/486964475_18264489634278196_7972361114494235617_n.jpg?stp=dst-jpg_e15_p360x360_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi43MjB4MTI3OS5zZHIuZjc1NzYxLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=-zEI-wSaQEsQ7kNvwGiBgjx&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5NzYxNzQzNjA3ODI0NjY0OQ%3D%3D.3-ccb7-5&oh=00_AfH4dTYb1XKC8FCqgFDIr7t-QXr2u_W_cD_5PEdadQyByA&oe=67FEDC64&_nc_sid=b41fef,4259,5649,0,2,228,5.35,22,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/486964475_18264489634278196_7972361114494235617_n.jpg
3596847368952226613_8389046195,Post,2025-03-26,"🏆 THIS FRIDAY VARSITY CLOSING PARTY 🏆

Celebrate the end of ...",245,0,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/486087286_18264391108278196_3898813095124643774_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEzNTB4MTY4Ny5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=me9wUGEWlhsQ7kNvwEkNJQq&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5Njg0NzM2ODk1MjIyNjYxMw%3D%3D.3-ccb7-5&oh=00_AfEnGQMr1899ncnhkDpFsjipmsZWNV07AGB5RNfkWkjYsw&oe=67FEBED3&_nc_sid=b41fef,5529,9882,0,22,267,4.83,36,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/486087286_18264391108278196_3898813095124643774_n.jpg
3594808666012886769_8389046195,Carousel,2025-03-25,Have you tried The Champions Blend yet? 🤩 also available at ...,81,0,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/485973085_18263766715278196_3901061501242288793_n.jpg?stp=dst-jpg_e15_p360x360_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjc1NzYxLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=LpyGoIvteg0Q7kNvwHXz0OM&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5NDgwODY2NjAxMjg4Njc2OQ%3D%3D.3-ccb7-5&oh=00_AfFkv_j4mFzGKfmZjhiJ9Nutrf66lrn7ALnxDMQ8nSANjA&oe=67FED531&_nc_sid=b41fef,2723,4083,0,1,82,3.01,18,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/485973085_18263766715278196_3901061501242288793_n.jpg
3595337244534343516_8389046195,Post,2025-03-24,"🏆 THIS WEDNESDAY GET READY FOR VARSITY VENSDAY 🏆

🏆 Varsity ...",62,1,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/486650423_18264185857278196_6769063728414987210_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwMjR4MTAyNC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QF7jn2zBA_yx5fbQlS3RRpoDCsp0y3a497tMbHrrP2KUEjLv7QP76jgz5ENwceRWME&_nc_ohc=pOLUHE5rQrUQ7kNvwGC7CYC&_nc_gid=Z6aBidNE6UdHzPblKvrHaQ&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5NTMzNzI0NDUzNDM0MzUxNg%3D%3D.3-ccb7-5&oh=00_AfGuUOnlr1pZTzoQpinPNDQ7L8hhej4xMyV2jDagrhJw6A&oe=67FEDBA4&_nc_sid=b41fef,1770,2062,0,3,66,3.73,34,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/486650423_18264185857278196_6769063728414987210_n.jpg
3592649779964870983_8389046195,Carousel,2025-03-23,Try the Varsity Champions Blend drink throughout Varsity wee...,107,1,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/484620090_18263766490278196_3731397921058380375_n.jpg?stp=dst-jpg_e15_p360x360_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjc1NzYxLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QF7jn2zBA_yx5fbQlS3RRpoDCsp0y3a497tMbHrrP2KUEjLv7QP76jgz5ENwceRWME&_nc_ohc=VIMOWOuwU-8Q7kNvwHMt-XO&_nc_gid=Z6aBidNE6UdHzPblKvrHaQ&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5MjY0OTc3OTk2NDg3MDk4Mw%3D%3D.3-ccb7-5&oh=00_AfEUgDxfj2rT6Faev_4v1jyaHTA0aW7rLXtpqXHvx8BzGQ&oe=67FEF0AB&_nc_sid=b41fef,3264,4542,0,1,109,3.34,66,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/484620090_18263766490278196_3731397921058380375_n.jpg
3592649382118322167_8389046195,Carousel,2025-03-20,"VENSDAY highlights 🤩 huge shoutout to @crazyhands.ukc 🫶

🏆 G...",89,4,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/485112852_18263767714278196_9185073815755901403_n.jpg?stp=dst-jpg_e15_p360x360_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi4xMTc5eDIwOTYuc2RyLmY3NTc2MS5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QF7jn2zBA_yx5fbQlS3RRpoDCsp0y3a497tMbHrrP2KUEjLv7QP76jgz5ENwceRWME&_nc_ohc=IMuZ5zHUiRUQ7kNvwFheo5a&_nc_gid=Z6aBidNE6UdHzPblKvrHaQ&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5MjY0OTM4MjExODMyMjE2Nw%3D%3D.3-ccb7-5&oh=00_AfFVc14W2gEr6B1_h8lK28MQIdJZLwUS8nRrJrZMTDPo7g&oe=67FEDF45&_nc_sid=b41fef,2573,2773,0,0,93,3.61,11,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/485112852_18263767714278196_9185073815755901403_n.jpg
3592626769660884152_8389046195,Post,2025-03-20,"🏆 VARSITY CLOSING PARTY 🏆

Celebrate the end of Varsity 2025...",121,0,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/485014804_18263799112278196_5782057131926503332_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwMjR4MTAyNC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QF7jn2zBA_yx5fbQlS3RRpoDCsp0y3a497tMbHrrP2KUEjLv7QP76jgz5ENwceRWME&_nc_ohc=nOYHAI6segYQ7kNvwGPx7hY&_nc_gid=Z6aBidNE6UdHzPblKvrHaQ&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5MjYyNjc2OTY2MDg4NDE1Mg%3D%3D.3-ccb7-5&oh=00_AfFAjD36gRwH07CxcNletFY08haJ6g43y1BenZiUIPXsWw&oe=67FEC826&_nc_sid=b41fef,3482,5375,0,18,139,3.99,51,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/485014804_18263799112278196_5782057131926503332_n.jpg
